AppDynamics PHP Agent 4.3.8.8GA.13387.9def4845cf076bd7ac3c87a51975d3d94601d6fe PHP-5.6.37-1+ubuntu14.04.1+deb.sury.org+1 681
2019-12-24 12:01:49.942 UTC INFO   681 [agent.AgentKernel] starting up agent kernel [4.3.8.8GA.13387.9def4845cf076bd7ac3c87a51975d3d94601d6fe]
2019-12-24 12:01:49.943 UTC INFO  proc1 681 [config.ConfigChannel] sending config request with version -1
2019-12-24 12:01:50.097 UTC INFO  proc1 681 [agent.ZMQControlTransport] received start node response, size: 45 bytes
2019-12-24 12:01:50.099 UTC ERROR proc1 681 [config.ConfigChannel] could not send config request
2019-12-24 12:01:50.538 UTC INFO  proc1 681 [config.ConfigChannel] sending config request with version -1
2019-12-24 12:01:50.541 UTC ERROR proc1 681 [config.ConfigChannel] could not send config request
2019-12-24 12:01:50.542 UTC INFO   684 [agent.AgentKernel] starting up agent kernel [4.3.8.8GA.13387.9def4845cf076bd7ac3c87a51975d3d94601d6fe]
2019-12-24 12:01:50.544 UTC INFO  proc1 684 [config.ConfigChannel] sending config request with version -1
2019-12-24 12:01:50.549 UTC INFO  proc1 684 [agent.ZMQControlTransport] received start node response, size: 45 bytes
2019-12-24 12:01:50.552 UTC ERROR proc1 684 [config.ConfigChannel] could not send config request
2019-12-24 12:01:50.583 UTC INFO   690 [agent.AgentKernel] starting up agent kernel [4.3.8.8GA.13387.9def4845cf076bd7ac3c87a51975d3d94601d6fe]
2019-12-24 12:01:50.584 UTC INFO  proc1 690 [config.ConfigChannel] sending config request with version -1
2019-12-24 12:01:50.591 UTC INFO  proc1 690 [agent.ZMQControlTransport] received start node response, size: 45 bytes
2019-12-24 12:01:50.594 UTC ERROR proc1 690 [config.ConfigChannel] could not send config request
2019-12-24 12:01:55.951 UTC INFO  proc1 690 [config.ConfigChannel] sending config request with version -1
2019-12-24 12:01:57.662 UTC INFO  proc1 690 [config.ZMQConfigTransport] received config response for request ID -995512089214068428
2019-12-24 12:01:57.664 UTC INFO  proc1 690 [config.ConfigChannel] going into INITIALIZED state
2019-12-24 12:01:57.708 UTC WARN  proc1 690 [agent.ZMQBTInfoTransport] timed out (10000us) waiting for response to -5055584514113111383.  Actual wait time: 10328us
2019-12-24 12:01:57.708 UTC WARN  proc1 690 [report.TransactionReporter] did not receive BTInfoResponse, not attaching snapshot
2019-12-24 12:01:57.712 UTC INFO  proc1 690 [report.TransactionReporter] BT details sent: /phpmyadmin/phpmyadmin.css.php[0], time: 34, error: 0, snapshot: 0, requestID: -5055584514113111383
2019-12-24 12:01:57.897 UTC INFO   960 [agent.AgentKernel] starting up agent kernel [4.3.8.8GA.13387.9def4845cf076bd7ac3c87a51975d3d94601d6fe]
2019-12-24 12:01:57.898 UTC INFO  proc1 960 [config.ConfigChannel] sending config request with version -1
2019-12-24 12:01:58.120 UTC INFO  proc1 960 [agent.ZMQControlTransport] received start node response, size: 1676 bytes
2019-12-24 12:01:58.302 UTC INFO  proc1 960 [config.ZMQConfigTransport] received config response for request ID -5825308548272293940
2019-12-24 12:01:58.303 UTC INFO  proc1 960 [config.ConfigChannel] going into INITIALIZED state
2019-12-24 12:01:58.415 UTC INFO  proc1 960 [report.TransactionReporter] BT details sent: /phpmyadmin/navigation.php[0], time: 109, error: 0, snapshot: 0, requestID: -2037282061455582029
2019-12-24 12:01:58.516 UTC INFO  proc1 690 [report.TransactionReporter] BT details sent: /phpmyadmin/ajax.php[0], time: 210, error: 0, snapshot: 0, requestID: -5299376259475150041
2019-12-24 12:01:58.714 UTC INFO  proc1 690 [report.TransactionReporter] BT details sent: /phpmyadmin/ajax.php[0], time: 147, error: 0, snapshot: 0, requestID: 7176246185508654033
2019-12-24 12:01:58.782 UTC ERROR proc1 960 [tx.AExitPointDelegate] Invalid regex in StringMatchCondition: /^()
2019-12-24 12:02:00.487 UTC INFO  proc1 960 [report.TransactionReporter] BT details sent: /phpmyadmin/version_check.php[0], time: 1907, error: 0, snapshot: 0, requestID: 8059899590170049093
2019-12-24 12:02:01.838 UTC INFO  proc1 690 [report.TransactionReporter] BT details sent: /phpmyadmin/server_databases.php[0], time: 2228, error: 0, snapshot: 0, requestID: 5981153179435313348
2019-12-24 12:02:04.381 UTC INFO   958 [agent.AgentKernel] starting up agent kernel [4.3.8.8GA.13387.9def4845cf076bd7ac3c87a51975d3d94601d6fe]
2019-12-24 12:02:04.382 UTC INFO  proc1 958 [config.ConfigChannel] sending config request with version -1
2019-12-24 12:02:04.388 UTC INFO  proc1 958 [agent.ZMQControlTransport] received start node response, size: 1832 bytes
2019-12-24 12:02:04.391 UTC INFO  proc1 958 [config.ZMQConfigTransport] received config response for request ID -6735245699363583573
2019-12-24 12:02:04.393 UTC INFO  proc1 958 [config.ConfigChannel] going into INITIALIZED state
2019-12-24 12:02:04.552 UTC INFO  proc1 958 [report.TransactionReporter] BT details sent: /phpmyadmin/server_databases.php[1515178], time: 156, error: 0, snapshot: 0, requestID: -3014862207450382593
2019-12-24 12:02:04.814 UTC INFO  proc1 960 [report.TransactionReporter] BT details sent: /phpmyadmin/db_structure.php[0], time: 250, error: 0, snapshot: 0, requestID: 5620698301486451669
2019-12-24 12:02:04.977 UTC INFO  proc1 958 [report.TransactionReporter] BT details sent: /phpmyadmin/navigation.php[1515174], time: 412, error: 0, snapshot: 0, requestID: -8522257079618639270
2019-12-24 12:02:05.116 UTC INFO  proc1 958 [report.TransactionReporter] BT details sent: /phpmyadmin/navigation.php[1515174], time: 126, error: 0, snapshot: 0, requestID: 2107718788435347261
2019-12-24 12:02:13.268 UTC INFO  proc1 958 [report.TransactionReporter] BT details sent: /phpmyadmin/tbl_create.php[0], time: 3000, error: 1, snapshot: 1, requestID: 2448419870993246649
2019-12-24 12:02:27.447 UTC INFO   955 [agent.AgentKernel] starting up agent kernel [4.3.8.8GA.13387.9def4845cf076bd7ac3c87a51975d3d94601d6fe]
2019-12-24 12:02:27.448 UTC INFO  proc1 955 [config.ConfigChannel] sending config request with version -1
2019-12-24 12:02:27.451 UTC INFO  proc1 955 [agent.ZMQControlTransport] received start node response, size: 1910 bytes
2019-12-24 12:02:27.673 UTC INFO  proc1 955 [config.ZMQConfigTransport] received config response for request ID -9045104529126738660
2019-12-24 12:02:27.674 UTC INFO  proc1 955 [config.ConfigChannel] going into INITIALIZED state
2019-12-24 12:02:27.776 UTC INFO  proc1 955 [report.TransactionReporter] BT details sent: /phpmyadmin/tbl_create.php[1515251], time: 99, error: 1, snapshot: 1, requestID: -3014405794977809765
2019-12-24 12:02:27.821 UTC INFO   959 [agent.AgentKernel] starting up agent kernel [4.3.8.8GA.13387.9def4845cf076bd7ac3c87a51975d3d94601d6fe]
2019-12-24 12:02:27.822 UTC INFO  proc1 690 [config.ConfigChannel] sending config request with version 1577188912429
2019-12-24 12:02:27.823 UTC INFO  proc1 959 [config.ConfigChannel] sending config request with version -1
2019-12-24 12:02:27.835 UTC INFO  proc1 959 [agent.ZMQControlTransport] received start node response, size: 1910 bytes
2019-12-24 12:02:29.594 UTC INFO  proc1 955 [report.TransactionReporter] BT details sent: /phpmyadmin/db_structure.php[1526680], time: 1806, error: 0, snapshot: 0, requestID: 5517103665620471619
2019-12-24 12:02:33.177 UTC INFO  proc1 690 [report.TransactionReporter] BT details sent: /phpmyadmin/tbl_structure.php[0], time: 5351, error: 0, snapshot: 0, requestID: -5164071569837341245
2019-12-24 12:02:41.365 UTC INFO  proc1 681 [agent] module shutdown start
2019-12-24 12:02:41.366 UTC ERROR proc1 681 [agent] Unable to remove exit opcode handler! Current Handler: 0
2019-12-24 12:02:41.366 UTC INFO  proc1 681 [agent] module shutdown end
2019-12-24 12:02:42.316 UTC INFO   944 [agent.AgentKernel] starting up agent kernel [4.3.8.8GA.13387.9def4845cf076bd7ac3c87a51975d3d94601d6fe]
2019-12-24 12:02:42.317 UTC INFO  proc1 944 [config.ConfigChannel] sending config request with version -1
2019-12-24 12:02:42.321 UTC INFO  proc1 944 [agent.ZMQControlTransport] received start node response, size: 1951 bytes
2019-12-24 12:02:42.328 UTC INFO  proc1 944 [config.ZMQConfigTransport] received config response for request ID -2854058272939370676
2019-12-24 12:02:42.329 UTC INFO  proc1 944 [config.ConfigChannel] going into INITIALIZED state
2019-12-24 12:02:42.342 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 4, error: 0, snapshot: 0, requestID: 8029804821324378733
2019-12-24 12:02:43.691 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 1, error: 0, snapshot: 0, requestID: 5150589987107097419
2019-12-24 12:02:43.874 UTC INFO  proc1 944 [report.TransactionReporter] BT details sent: /select.php[0], time: 1, error: 0, snapshot: 0, requestID: 3285638775578264394
